,territorio,anno,popolazione_totale,detenuti,detenuti_maschi,detenuti_stranieri,furti_con_strappo_denunciati,furti_denunciati,furti_in_abitazione_denunciati,omicidi_volontari_consumati,rapine_denunciate,rapine_in_banca_denunciate,vittime_di_omicidio_maschi,vittime_di_omicidio_femmine,indice_di_affollamento,rischio_di_criminalità_percepito_dalle_famiglie,stranieri_residenti
0,Abruzzo,2005,1292779,1620,1576,392,267,23031,2363,5,468,57,,,123,13,41062
1,Abruzzo,2006,1296630,1893,1865,587,301,23231,1887,10,418,58,,,71,17,43908
2,Abruzzo,2007,1311048,1062,1043,209,453,23828,2624,6,483,53,,,92,24,55209
3,Abruzzo,2008,1321618,1359,1313,350,337,25164,2875,9,537,77,7,2,114,29,63802
4,Abruzzo,2009,1325731,1678,1626,440,231,23094,2068,3,473,71,3,0,135,23,68332
5,Abruzzo,2010,1328889,1965,1910,447,214,22071,2092,7,362,44,3,4,130,22,71728
6,Abruzzo,2011,1331236,1965,1902,407,183,23587,3152,8,343,41,3,5,131,18,75988
7,Abruzzo,2012,1332164,2006,1942,372,184,25353,3713,16,455,35,7,9,125,17,80952
8,Abruzzo,2013,1329501,1894,1821,298,322,26092,3994,11,511,47,6,5,126,25,83494
9,Abruzzo,2014,1325400,1935,1864,240,274,27073,4287,11,452,44,5,6,121,27,84787
10,Abruzzo,2015,1318841,1817,1746,192,191,27370,4667,4,417,23,2,2,107,32,83857
11,Abruzzo,2016,1313470,1691,1621,215,167,25253,4645,6,373,10,4,2,109,33,83160
12,Abruzzo,2017,1305657,1740,1672,210,157,21224,3916,6,332,6,3,3,115,26,83145
13,Abruzzo,2018,1300645,1850,1773,341,159,19790,3271,10,311,10,5,5,120,24,84611
14,Abruzzo,2019,1293941,1973,1883,349,89,17143,3059,6,285,3,3,3,125,22,83504
15,Abruzzo,2020,1281012,2064,1973,373,68,14787,2938,7,268,6,2,5,100,19,82568
16,Abruzzo,2021,1275950,1659,1594,286,71,10025,1815,3,216,3,2,1,105,14,80988
17,Abruzzo,2022,1272627,1735,1678,300,77,10294,2342,4,234,3,2,2,113,16,82904
18,Abruzzo,2023,1269571,1875,1801,319,94,13292,2791,8,242,2,5,3,116,18,85828
19,Basilicata,2005,590047,457,437,91,13,3752,392,7,63,8,,,125,14,6190
20,Basilicata,2006,586466,446,424,86,6,3649,277,5,59,8,,,68,12,6294
21,Basilicata,2007,586004,298,290,42,21,4156,613,4,40,7,,,83,10,9004
22,Basilicata,2008,584825,363,349,65,21,4663,598,4,62,8,4,0,122,12,10803
23,Basilicata,2009,582517,533,511,160,21,4052,468,2,58,15,2,0,131,7,11685
24,Basilicata,2010,580674,577,577,105,20,3747,407,1,46,4,0,1,151,5,12927
25,Basilicata,2011,579216,615,579,83,16,4510,659,5,54,7,3,2,107,8,14309
26,Basilicata,2012,577398,472,456,55,27,4695,905,6,43,5,2,4,103,15,15783
27,Basilicata,2013,575642,454,436,53,37,4781,913,3,77,9,2,1,100,14,17051
28,Basilicata,2014,573057,442,422,53,33,4569,827,2,61,11,2,0,97,10,17957
29,Basilicata,2015,569727,455,444,65,30,4878,695,7,61,3,4,3,97,14,18812
30,Basilicata,2016,566251,458,451,99,31,4654,667,1,53,6,0,1,130,16,19887
31,Basilicata,2017,562836,540,528,95,21,4272,737,1,67,1,1,0,120,18,21555
32,Basilicata,2018,558587,499,481,75,23,4131,872,4,61,4,4,0,135,9,22210
33,Basilicata,2019,553254,559,544,72,37,3833,787,6,72,3,3,3,115,13,22569
34,Basilicata,2020,545130,471,457,55,18,3229,586,1,55,6,1,0,100,12,22011
35,Basilicata,2021,541168,399,399,42,7,2285,511,3,44,1,3,0,94,12,22184
36,Basilicata,2022,537577,376,376,44,10,2171,523,1,43,0,1,0,114,14,24211
37,Basilicata,2023,533233,406,406,53,15,2595,670,1,54,0,1,0,130,14,25410
38,Calabria,2005,1981651,2363,2332,425,324,26879,1909,76,675,44,,,128,16,31515
39,Calabria,2006,1971631,2347,2309,449,296,29661,2061,69,766,57,,,80,27,31972
40,Calabria,2007,1978730,1465,1441,184,296,30073,2150,61,653,32,,,98,23,46468
41,Calabria,2008,1976216,1805,1779,410,301,31192,2381,59,747,38,51,8,129,30,52368
42,Calabria,2009,1973268,2286,2244,649,300,26969,2308,76,759,20,65,11,161,20,57452
43,Calabria,2010,1971652,2866,2822,791,234,25105,2259,64,592,16,55,9,177,23,63964
44,Calabria,2011,1968081,3309,3244,862,211,24011,2443,60,610,11,56,4,162,14,70086
45,Calabria,2012,1961930,3043,2984,604,189,24145,3137,59,709,15,46,13,136,18,76139
46,Calabria,2013,1957688,2916,2854,502,342,26808,3950,52,710,13,49,3,107,22,83106
47,Calabria,2014,1951150,2653,2603,327,283,25827,3772,48,599,4,38,10,90,20,87178
48,Calabria,2015,1942533,2397,2346,329,243,26395,3583,32,511,7,29,3,90,24,91663
49,Calabria,2016,1934564,2405,2343,441,227,24866,3567,37,473,10,25,12,100,27,96641
50,Calabria,2017,1923797,2651,2609,547,242,24098,3252,21,436,11,14,7,96,20,101502
51,Calabria,2018,1912021,2606,2553,522,187,21181,2947,21,382,7,20,1,103,16,104735
52,Calabria,2019,1894110,2805,2749,613,170,20562,2715,34,364,0,24,10,106,19,103395
53,Calabria,2020,1860601,2898,2841,604,104,16801,2474,30,270,4,27,3,90,18,92996
54,Calabria,2021,1855454,2447,2394,461,58,11886,1718,14,225,1,10,4,99,11,93257
55,Calabria,2022,1846610,2681,2627,543,68,11203,1506,10,179,0,8,2,107,16,97062
56,Calabria,2023,1838568,2928,2864,626,84,11902,1687,16,210,2,10,6,112,11,99907
57,Campania,2005,5762935,6825,6534,875,6429,114841,6730,178,15897,81,,,139,53,88018
58,Campania,2006,5765720,7310,7034,863,6374,115741,7405,128,15802,93,,,101,51,91632
59,Campania,2007,5784512,5312,5155,700,5650,120653,8423,140,17147,108,,,117,54,106952
60,Campania,2008,5791523,6164,5945,801,5502,118750,9289,152,15066,126,138,15,135,54,122142
61,Campania,2009,5806857,7185,6905,906,4408,108794,8181,111,13545,150,102,9,143,49,134912
62,Campania,2010,5822136,7594,7299,1001,3178,96520,7680,104,10290,111,93,11,138,40,150409
63,Campania,2011,5826768,7610,7326,946,3021,92793,7655,62,8364,105,49,13,137,45,167950
64,Campania,2012,5819520,7922,7609,990,3582,102072,9931,61,9977,103,51,10,141,39,185403
65,Campania,2013,5811815,8165,7825,951,3873,105024,10856,89,9775,79,67,22,136,36,200254
66,Campania,2014,5803348,7966,7604,960,3648,106451,10294,77,10075,59,58,19,118,33,213676
67,Campania,2015,5789787,7188,6828,874,3030,108115,9998,67,8238,52,60,7,109,45,225551
68,Campania,2016,5775712,6599,6285,812,3053,112143,10355,107,7480,49,77,30,113,44,233830
69,Campania,2017,5761999,6887,6556,904,2937,111623,10575,82,7906,45,69,13,117,39,245877
70,Campania,2018,5740291,7195,6866,948,2845,106865,9567,53,7072,28,44,9,125,34,252228
71,Campania,2019,5712143,7660,7280,1008,2758,105044,9513,43,6051,34,31,12,120,36,254791
72,Campania,2020,5624260,7412,7054,978,2449,98242,8748,35,4816,22,28,7,106,35,249548
73,Campania,2021,5624420,6403,6087,862,1680,72174,6049,37,3596,10,27,10,109,32,239990
74,Campania,2022,5609536,6674,6371,893,1996,83916,7091,47,3492,7,40,7,109,34,251996
75,Campania,2023,5593906,6756,6420,850,2282,94493,8104,50,4132,9,38,12,119,39,263680
76,Emilia-Romagna,2005,4162173,3705,3555,1655,1350,144041,10533,31,2378,316,,,162,24,270074
77,Emilia-Romagna,2006,4194143,3852,3691,1839,1237,149744,11123,27,2398,395,,,123,29,294280
78,Emilia-Romagna,2007,4245822,2945,2855,1448,1152,152240,13949,29,2431,429,,,160,31,340001
79,Emilia-Romagna,2008,4305022,3613,3499,1843,1139,162039,14932,26,2576,367,14,12,179,36,391839
80,Emilia-Romagna,2009,4339434,4074,3951,2116,942,133157,12726,30,2396,254,18,12,188,26,426539
81,Emilia-Romagna,2010,4370278,4488,4329,2361,740,127854,13415,35,2021,162,18,17,183,25,458173
82,Emilia-Romagna,2011,4389724,4373,4235,2291,733,123058,14193,22,1797,119,13,9,163,26,478351
83,Emilia-Romagna,2012,4413795,4000,3855,2065,974,143964,19590,37,2187,141,16,21,141,25,505377
84,Emilia-Romagna,2013,4430477,3469,3333,1776,1169,150186,23599,37,2436,138,16,21,154,33,520836
85,Emilia-Romagna,2014,4432524,3687,3554,1950,1237,154623,24939,26,2739,146,14,12,103,31,520637
86,Emilia-Romagna,2015,4433722,2884,2767,1347,1083,159299,27526,22,2605,89,14,8,104,43,516805
87,Emilia-Romagna,2016,4438147,2911,2788,1347,1220,152447,26045,22,2405,103,10,12,117,46,511102
88,Emilia-Romagna,2017,4444554,3270,3126,1600,1332,138452,24189,28,2155,55,16,12,124,38,515707
89,Emilia-Romagna,2018,4459453,3488,3329,1770,1379,128337,21956,18,2113,47,11,7,127,31,529580
90,Emilia-Romagna,2019,4464119,3554,3408,1854,1107,116998,21385,18,2041,24,8,10,137,27,537590
91,Emilia-Romagna,2020,4441353,3834,3679,1930,868,103678,18468,22,1823,34,8,14,105,25,562257
92,Emilia-Romagna,2021,4425366,3139,3006,1507,860,69988,12891,14,1674,22,9,5,109,20,549820
93,Emilia-Romagna,2022,4437578,3261,3123,1530,869,73113,13506,30,2115,6,14,15,113,18,554041
94,Emilia-Romagna,2023,4451938,3407,3254,1660,946,85269,14382,21,2070,14,11,10,120,21,560953
95,Friuli-Venezia Giulia,2005,1203559,729,701,335,86,23540,1774,12,273,32,,,153,19,63576
96,Friuli-Venezia Giulia,2006,1207805,830,805,398,91,24075,1988,6,275,28,,,84,18,69950
97,Friuli-Venezia Giulia,2007,1216731,457,437,253,90,22896,2181,7,233,30,,,111,18,80352
98,Friuli-Venezia Giulia,2008,1224302,614,604,366,107,22753,2208,7,258,27,4,3,135,22,90651
99,Friuli-Venezia Giulia,2009,1225497,741,713,422,51,20238,2376,5,196,15,3,2,158,16,94918
100,Friuli-Venezia Giulia,2010,1224895,864,846,527,60,19872,2504,5,169,7,2,3,155,14,97533
101,Friuli-Venezia Giulia,2011,1223115,850,817,516,50,19124,2892,6,184,7,2,4,156,14,99670
102,Friuli-Venezia Giulia,2012,1224417,854,824,518,75,20604,3518,5,211,7,2,3,157,14,103325
103,Friuli-Venezia Giulia,2013,1224398,862,835,510,57,21850,4246,10,211,4,5,5,139,17,105759
104,Friuli-Venezia Giulia,2014,1221080,763,745,441,88,21960,4849,8,248,6,3,5,127,25,104447
105,Friuli-Venezia Giulia,2015,1215681,615,594,231,99,21511,4730,1,262,7,1,0,127,29,101421
