,territorio,anno,popolazione_totale,detenuti,detenuti_maschi,detenuti_stranieri,furti_con_strappo_denunciati,furti_denunciati,furti_in_abitazione_denunciati,omicidi_volontari_consumati,rapine_denunciate,rapine_in_banca_denunciate,vittime_di_omicidio_maschi,vittime_di_omicidio_femmine,indice_di_affollamento,rischio_di_criminalità_percepito_dalle_famiglie,stranieri_residenti,var_assoluta_popolazione_totale,var_perc_popolazione_totale,var_assoluta_detenuti,var_perc_detenuti,var_assoluta_detenuti_maschi,var_perc_detenuti_maschi,var_assoluta_detenuti_stranieri,var_perc_detenuti_stranieri,var_assoluta_furti_con_strappo_denunciati,var_perc_furti_con_strappo_denunciati,var_assoluta_furti_denunciati,var_perc_furti_denunciati,var_assoluta_furti_in_abitazione_denunciati,var_perc_furti_in_abitazione_denunciati,var_assoluta_omicidi_volontari_consumati,var_perc_omicidi_volontari_consumati,var_assoluta_rapine_denunciate,var_perc_rapine_denunciate,var_assoluta_rapine_in_banca_denunciate,var_perc_rapine_in_banca_denunciate,var_assoluta_vittime_di_omicidio_maschi,var_perc_vittime_di_omicidio_maschi,var_assoluta_vittime_di_omicidio_femmine,var_perc_vittime_di_omicidio_femmine,var_assoluta_stranieri_residenti,var_perc_stranieri_residenti
260,Trentino-Alto Adige/Südtirol,2012,1035307.0,376.0,361.00000000000006,265.0,69.57515306117514,15506.313755819903,1473.9993141388961,2.981792274050363,194.81042857129037,2.981792274050363,0.9939307580167874,1.9878615160335749,148.57142857142858,8.7,94233,7844.0,0.7634338170814825,-29.0,-7.160493827160497,-21.999999999999943,-5.7441253263707415,-1.0,-0.3759398496240629,31.782130870571805,84.09523512113819,983.8477024727945,6.774660025774604,335.23588234308477,29.438588646495557,-0.99642058811841,-25.046939986393756,31.703701222370654,19.43739644444569,-0.99642058811841,-25.046939986393756,-1.9897288886097924,-66.68752888284169,0.9933083004913816,99.87482670294993,4264.0,4.739410241305331
261,Trentino-Alto Adige/Südtirol,2013,1042448.0,416.0,398.0,288.99999999999994,53.697232228571536,17794.666124634958,2390.521227360852,3.977572757671965,213.79453572486815,4.9719659470899575,1.9887863788359825,1.9887863788359825,144.28571428571428,9.7,96455,7141.0,0.6897470991696242,40.0,10.63829787234043,36.99999999999994,10.249307479224367,23.999999999999943,9.056603773584882,-15.877920832603607,-22.821251745781534,2288.3523688150544,14.757552341904457,916.5219132219561,62.17926320796045,0.9957804836216022,33.3953673529702,18.98410715357778,9.74491319217574,1.9901736730395947,66.74420919121278,0.9948556208191951,100.09305102945531,0.0009248628024076666,0.04652551472765776,2222.0,2.3579849946409492
262,Trentino-Alto Adige/Südtirol,2014,1046421.0,404.0,381.0,286.0,78.53442021384132,19223.03903386139,2474.331290028495,5.964639509912,235.603260641524,0.0,2.9823197549560003,2.9823197549560003,56.777996070726914,14.1,95860,3973.0,0.3811221279143018,-12.0,-2.8846153846153855,-17.0,-4.2713567839196,-2.999999999999943,-1.0380622837370068,24.83718798526978,46.25413071486815,1428.372909226433,8.026972235511586,83.8100626676428,3.5059325852617285,1.9870667522400347,49.956766935497754,21.808724916655848,10.200786864226252,-4.9719659470899575,-100.0,0.9935333761200178,49.956766935497775,0.9935333761200178,49.956766935497775,-595.0,-0.6168679695194634
263,Trentino-Alto Adige/Südtirol,2015,1050043.0,289.0,269.00000000000006,209.0,92.31444841167453,19824.775953526492,3107.919763193043,0.9926284775448867,246.17186243113213,2.977885432634662,0.9926284775448867,0.0,87.62278978388997,24.0,93872,3622.0,0.34613219727051003,-115.0,-28.46534653465347,-111.99999999999994,-29.396325459317573,-77.0,-26.923076923076927,13.780028197833218,17.546482370801986,601.7369196651016,3.1302902657854625,633.5884731645478,25.60645277040696,-4.972011032367113,-83.35811450305852,10.568601789608124,4.485762107379543,2.977885432634662,inf,-1.9896912774111137,-66.71622900611705,-2.9823197549560003,-100.0,-1988.0,-2.073857709159188
264,Trentino-Alto Adige/Südtirol,2016,1054100.0,446.0,434.00000000000006,314.00000000000006,83.37034150666345,18394.077846940403,2539.8179037565687,4.962520327777585,220.33590255332481,5.955024393333104,1.9850081311110341,2.977512196666551,83.85826771653542,20.4,91418,4057.0,0.3863651298089632,157.0,54.32525951557095,165.0,61.338289962825264,105.00000000000006,50.239234449760794,-8.944106905011083,-9.688740017299358,-1430.6981065860891,-7.216717656431282,-568.1018594364741,-18.279167505045645,3.9698918502326985,399.9373320470931,-25.835959877807312,-10.49509055285921,2.9771389606984417,99.97493281883716,0.9923796535661474,99.97493281883725,2.977512196666551,inf,-2454.0,-2.614198056928585
265,Trentino-Alto Adige/Südtirol,2017,1059125.0,426.0,406.00000000000006,299.99999999999994,86.37319819788001,16611.452324677335,2454.190183277694,2.9783861447544826,278.97550222533664,1.9855907631696554,1.9855907631696548,0.9927953815848274,79.64426877470355,12.4,92785,5025.0,0.4767099895645499,-20.0,-4.484304932735428,-28.0,-6.451612903225801,-14.000000000000114,-4.4585987261146816,3.0028566912165644,3.601828464354506,-1782.625522263068,-9.691301391113683,-85.62772047887483,-3.3714117989413928,-1.9841341830231025,-39.98238902754635,58.639599672011826,26.613728853299378,-3.969433630163448,-66.65688279308131,0.0005826320586206357,0.02935162075605735,-1.9847168150817236,-66.65688279308131,1367.0,1.4953291474326669
266,Trentino-Alto Adige/Südtirol,2018,1064675.0,403.0,382.0,291.99999999999994,108.2730511819147,15254.580247712514,2640.2731196470577,4.96665372394104,258.26599364493416,0.0,1.986661489576416,2.9799922343646243,79.05138339920948,13.6,95459,5550.0,0.5240174672489051,-23.0,-5.39906103286385,-24.000000000000057,-5.911330049261099,-8.0,-2.6666666666666616,21.89985298403468,25.35491731342674,-1356.8720769648207,-8.168292876770945,186.08293636936378,7.5822541234698,1.9882675791865578,66.7565413802466,-20.709508580402485,-7.423414749756352,-1.9855907631696554,-100.0,0.0010707264067613131,0.05392482814796651,1.987196852779797,200.16177448444395,2674.0,2.881931346661637
267,Trentino-Alto Adige/Südtirol,2019,1078069.0,400.0,378.0,273.0,93.41119820494201,15257.824864241271,2500.240156208873,5.962416906698427,257.37766313914875,4.968680755582021,1.9874723022328087,3.9749446044656174,87.94466403162056,12.4,97136,13394.0,1.258036490008685,-3.0,-0.7444168734491274,-4.0,-1.0471204188481686,-18.999999999999943,-6.506849315068475,-14.861852976972685,-13.726271509613763,3.2446165287565236,0.021269785704158828,-140.03296343818465,-5.303730223822589,0.9957631827573863,20.048975388750236,-0.8883305057854045,-0.3439595330567147,4.968680755582021,inf,0.000810812656392601,0.04081282395851371,0.994952370100993,33.38775043194468,1677.0,1.7567751600163328
268,Trentino-Alto Adige/Südtirol,2020,1077078.0,445.0,418.0,277.00000000000006,89.16686701333533,13961.126874503681,2639.940388540883,4.007499641048778,225.42185480899383,0.0,1.3358332136829256,2.6716664273658512,77.91164658634538,10.0,105759,-991.0,-0.09192361527879944,45.0,11.250000000000004,40.0,10.582010582010582,4.000000000000057,1.4652014652014822,-4.244331191606676,-4.543707042805201,-1296.6979897375895,-8.498576968048521,139.70023233200982,5.587472546790795,-1.954917265649649,-32.78732930354826,-31.955808330154923,-12.4159213897588,-4.968680755582021,-100.0,-0.6516390885498831,-32.78732930354826,-1.3032781770997661,-32.78732930354826,8623.0,8.877244276066554
269,Trentino-Alto Adige/Südtirol,2021,1073574.0,388.0,367.0,247.0,43.97976750541842,8872.918094218167,1238.4302713457598,3.998160682310765,271.87492639713207,0.9995401705776913,0.0,3.9981606823107656,83.53413654618474,9.2,97390,-3504.0,-0.3253246282999056,-57.0,-12.808988764044948,-51.0,-12.200956937799045,-30.000000000000057,-10.830324909747313,-45.18709950791691,-50.67700707837919,-5088.208780285515,-36.445545019562765,-1401.510117195123,-53.08870318733785,-0.009338958738012604,-0.2330370449033503,46.45307158813824,20.607172994605705,0.9995401705776913,inf,-1.3358332136829256,-100.0,1.3264942549449144,49.65044443264502,-8369.0,-7.913274520371793
